team_a_ppg_dif_l4,team_b_ppg_dif_l4,team_a_shots_average,team_b_shots_average,predict_xg_overall_team_a,predict_xg_overall_team_b,position_a_prematch,position_b_prematch,predict_xg_home_team_a,predict_xg_away_team_b,Result
0.634286,0.52,11.08,11.54,2.093,1.6113,8,7,2.58437,1.659,0
3.34,1.11,12.08,12.46,1.08,3.9775,13,3,0.648104,2.15405,1
1.04,0.888,11.0,17.0,1.2412,3.6309,10,2,1.30969,2.23683,0
1.67,0.74,10.85,16.23,1.4268,1.587,6,5,1.39198,0.581699,2
0.624,0.78,8.38,8.92,1.978,0.9775,13,14,2.90748,1.12616,0
3.06667,3.6,11.71,10.86,1.4592,2.0691,8,6,1.91873,1.31561,0
1.15,0.685714,12.93,11.14,3.186,1.15,2,7,3.74852,1.26189,0
1.46667,0.133333,8.36,11.0,1.3345,2.244,11,8,1.35729,1.21885,0
0.7,1.46667,8.79,12.21,1.4694,3.5604,14,11,1.15292,3.22476,2
0.5,0.0888889,10.57,8.86,1.9494,2.2321,15,14,2.33099,1.57812,0
4.8,0.571429,10.86,16.64,1.3054,3.6765,12,3,1.39002,2.41661,0
0.733333,0.4,13.79,11.14,2.7588,1.1154,1,6,2.47693,1.08414,0
0.333333,1.14286,15.86,17.43,0.9585,1.978,5,4,1.63762,2.02977,0
0.7,0.8,13.71,9.0,0.9951,0.9951,9,10,0.973929,0.58514,0
1.31429,2.4,16.57,12.0,5.1957,1.3696,3,13,8.1382,1.49635,2
0.786667,1.09,11.4,10.87,2.422,2.324,10,12,3.47889,2.40334,0
3.28,0.872,10.67,13.47,1.27,3.048,8,2,0.999462,1.5283,0
1.0,1.888,8.87,16.67,1.1524,2.6429,13,3,1.26302,1.52929,1
0.3,0.756667,8.93,13.73,0.6862,3.96,16,1,0.884986,3.95717,1
3.82,1.69333,11.8,8.67,1.8758,2.07,14,11,2.66404,1.76128,0
1.0,1.45333,12.4,15.67,1.9153,2.5669,13,6,1.27445,1.40156,1
0.674286,0.257143,10.8,10.8,2.7398,1.524,8,15,2.89758,1.22708,0
0.666667,0.726667,16.6,11.67,3.6849,1.778,4,7,4.95136,1.37417,0
0.786667,1.34857,11.27,13.67,1.14,1.3671,9,8,1.62115,1.51701,2
1.27333,1.82,16.87,9.13,3.424,0.6789,5,15,4.53994,0.597695,0
0.5,0.666667,12.0,14.06,1.2075,4.1322,11,1,0.973022,4.1643,1
1.0,0.613333,8.88,10.44,1.7172,1.475,11,12,2.05814,1.04195,0
0.857143,0.92,10.88,10.94,1.7976,1.8078,8,10,2.37951,2.07285,2
3.0,1.44,8.88,11.25,1.54,2.31,13,7,2.28602,2.20761,0
1.264,2.66,12.0,9.06,2.4528,1.6878,10,12,3.1602,1.71069,0
0.474286,0.46,10.94,15.81,1.5264,1.6422,6,5,1.39927,1.16091,1
1.38667,0.902857,11.31,13.94,1.2972,1.3728,7,7,1.81354,1.54909,1
0.78,0.555556,16.5,13.19,2.2578,2.7608,3,2,1.88367,1.63737,0
1.55333,3.0,17.44,8.5,2.7378,0.6486,4,9,4.11033,0.51459,0
1.17,0.382857,10.88,16.69,1.6506,3.1125,6,2,1.89977,1.64644,1
1.74667,1.31,11.24,11.71,2.3436,2.805,9,13,2.5074,2.7592,2
0.613333,0.92,12.82,10.76,2.7429,1.5232,4,8,3.4538,1.74925,0
1.64,0.566667,8.35,8.88,1.0528,1.551,12,11,1.18859,0.89121,0
0.77,1.54,14.0,11.18,3.399,0.884,1,9,3.1797,0.697473,0
0.62,1.54,11.18,10.71,1.6864,2.091,12,8,1.82198,1.30349,1
0.584,0.666667,15.41,8.88,2.3124,0.88,6,14,3.0757,0.741244,0
2.46667,1.22857,10.35,12.29,2.1594,2.4304,15,10,2.92081,2.31307,1
3.68,1.58667,9.59,16.18,0.9794,4.4732,15,3,0.912239,3.00855,1
0.657143,0.864,16.29,11.24,3.4122,1.3098,2,9,4.31819,1.16971,0
0.485714,0.306667,13.82,18.0,0.71,1.6074,7,5,0.690606,1.04591,1
3.16,0.953333,9.61,10.61,0.9048,2.7776,17,7,0.898169,1.78689,2
0.666667,1.05333,8.33,8.94,1.634,1.3884,12,16,1.74997,0.792479,0
0.81,2.72,13.94,11.0,3.286,0.6771,1,11,3.07122,0.556214,0
0.93,0.344,10.94,12.11,2.2784,2.2144,14,10,2.23046,1.64685,0
0.5,1.42667,16.06,8.89,1.665,0.89,6,13,2.41905,0.862797,0
0.691429,1.90667,13.56,10.28,1.22,1.4097,8,9,1.04935,1.12181,1
0.853333,1.72,10.39,10.89,2.0124,2.9184,17,11,2.45976,2.46346,1
0.856,0.951111,16.72,16.06,2.775,2.5389,2,3,4.45322,2.44622,0
1.29,0.857778,11.11,18.0,0.8784,3.0378,10,5,1.06761,2.17575,1
1.47333,2.0,13.56,11.67,3.9711,1.6905,4,15,5.38508,2.36964,0
1.33333,1.07,8.89,10.79,1.467,1.4616,13,12,2.0472,1.41548,2
0.76,1.33,11.11,13.42,1.518,1.21,6,8,1.94999,1.10119,0
0.888889,0.753333,15.68,8.79,3.116,1.21,4,9,4.72994,0.886164,0
0.973333,0.69,9.21,16.16,0.979,4.4528,15,2,1.08297,3.22628,2
0.886667,3.2,10.05,9.68,2.8512,1.0164,7,16,3.6867,1.15645,0
0.386667,0.533333,12.0,16.58,1.21,2.6622,10,5,1.1115,1.50637,1
0.8,1.51333,10.89,13.89,1.37,3.5208,8,3,1.31409,2.28072,2
4.0,1.0,11.42,10.32,3.5343,2.024,14,17,2.8333,1.50328,1
2.54,5.6,10.74,10.84,2.0585,2.0496,11,10,2.79631,1.97701,0
0.6,0.823333,18.05,14.21,1.3192,1.6354,4,1,1.53747,1.41533,0
0.626667,1.12667,17.75,10.1,2.34,0.98,3,7,2.61774,0.794025,0
1.25333,1.74667,9.0,13.45,1.375,1.4725,10,9,1.71191,1.2745,0
4.0,1.31,9.85,11.0,1.4535,3.19,16,8,1.18748,2.27473,0
0.69,1.0,9.35,11.3,1.52,2.22,15,9,1.78019,1.81312,1
1.25333,1.21714,10.4,13.9,1.265,4.928,15,4,1.33735,3.55833,1
2.76,0.75,10.9,9.0,1.265,1.53,11,13,1.43654,1.09402,2
0.666667,10.0,11.75,11.2,2.1275,2.625,11,14,2.32593,2.8389,0
